model,price,fuel,counter,release,type
DS 3 CROSSBACK,29 480 €,Essence,26 670 Km,2021,Automatique
DS 3 CROSSBACK,27 990 €,Electrique,7 590 Km,2021,Automatique
DS 7 CROSSBACK,53 990 €,Hybride rechargeable,8 000 Km,2022,Automatique
DS 7 CROSSBACK,52 999 €,Hybride rechargeable,13 967 Km,2021,Automatique
DS 9,54 999 €,Hybride,19 006 Km,2021,Automatique
DS 7 CROSSBACK,45 999 €,Hybride rechargeable,9 725 Km,2021,Automatique
DS 3 CROSSBACK,27 300 €,Essence,28 459 Km,2020,Automatique
DS 7 CROSSBACK,51 593 €,Hybride rechargeable,18 250 Km,2021,Automatique
DS 3 CROSSBACK,26 990 €,Electrique,23 333 Km,2020,Automatique
DS 3 CROSSBACK,28 990 €,Diesel,17 296 Km,2020,Automatique
DS 7 CROSSBACK,50 999 €,Hybride rechargeable,10 070 Km,2022,Automatique
DS 7 CROSSBACK,37 290 €,Diesel,34 324 Km,2019,Automatique
DS 7 CROSSBACK,33 299 €,Diesel,39 505 Km,2020,Automatique
DS 4,14 649 €,Diesel,80 001 Km,2017,Manuelle
DS 7 CROSSBACK,40 990 €,Diesel,21 950 Km,2021,Automatique
DS 7 CROSSBACK,24 590 €,Diesel,60 835 Km,2019,Manuelle
DS 3 CROSSBACK,22 980 €,Diesel,56 236 Km,2019,Manuelle
DS 9,47 825 €,Hybride,4 600 Km,2021,Automatique
DS 3 CROSSBACK,29 979 €,Essence,15 543 Km,2020,Automatique
DS 3 CROSSBACK,26 874 €,Electrique,28 000 Km,2020,Automatique
DS 7 CROSSBACK,52 990 €,Hybride rechargeable,12 880 Km,2021,Automatique
DS 7 CROSSBACK,41 480 €,Diesel,13 700 Km,2022,Automatique
DS 9,56 999 €,Hybride,10 017 Km,2022,Automatique
DS 3 CROSSBACK,24 980 €,Essence,13 659 Km,2021,Manuelle
DS 7 CROSSBACK,33 998 €,Essence,54 237 Km,2019,Automatique
DS 7 CROSSBACK,43 290 €,Hybride rechargeable,33 389 Km,2020,Automatique
DS 3 CROSSBACK,43 990 €,Diesel,3 432 Km,2022,Automatique
DS 7 CROSSBACK,33 999 €,Diesel,41 888 Km,2020,Automatique
DS 7 CROSSBACK,35 999 €,Diesel,42 346 Km,2021,Automatique
DS 3 CROSSBACK,29 900 €,Essence,12 696 Km,2021,Automatique
DS 3 CROSSBACK,31 499 €,Diesel,15 Km,2022,Automatique
DS 3 CROSSBACK,23 980 €,Essence,33 008 Km,2019,Automatique
DS 3 CROSSBACK,29 900 €,Diesel,14 756 Km,2020,Automatique
DS 3,15 500 €,Essence,35 852 Km,2016,Manuelle
DS 4,39 990 €,Hybride,2 500 Km,2023,Automatique
DS 3 CROSSBACK,34 499 €,Essence,6 131 Km,2021,Automatique
DS 3,20 480 €,Essence,19 882 Km,2017,Manuelle
DS 7 CROSSBACK,49 990 €,Hybride rechargeable,4 500 Km,2021,Automatique
DS 7 CROSSBACK,39 499 €,Diesel,4 681 Km,2022,Automatique
DS 7 CROSSBACK,28 190 €,Diesel,56 586 Km,2018,Automatique
DS 3 CROSSBACK,34 699 €,Essence,100 Km,2022,Automatique
DS 7 CROSSBACK,35 999 €,Diesel,53 145 Km,2019,Automatique
DS 3 CROSSBACK,27 999 €,Diesel,29 026 Km,2020,Automatique
DS 7 CROSSBACK,28 490 €,Diesel,88 656 Km,2019,Automatique
DS 7 CROSSBACK,36 824 €,Diesel,34 800 Km,2019,Automatique
DS 7 CROSSBACK,29 699 €,Diesel,61 224 Km,2019,Automatique
DS 3 CROSSBACK,27 779 €,Essence,13 138 Km,2020,Automatique
DS 3 CROSSBACK,29 990 €,Electrique,10 117 Km,2020,Automatique
DS 3,11 900 €,Essence,107 611 Km,2015,Manuelle
DS 3 CROSSBACK,21 922 €,Diesel,94 461 Km,2020,Automatique
DS 7 CROSSBACK,31 999 €,Diesel,73 061 Km,2019,Automatique
DS 4 CROSSBACK,13 491 €,Diesel,112 795 Km,2016,Automatique
DS 7 CROSSBACK,44 799 €,Hybride rechargeable,11 928 Km,2021,Automatique
DS 4,12 890 €,Diesel,118 176 Km,2017,Manuelle
DS 7 CROSSBACK,45 999 €,Hybride rechargeable,30 298 Km,2020,Automatique
DS 7 CROSSBACK,29 990 €,Diesel,80 050 Km,2019,Automatique
DS 3 CROSSBACK,17 979 €,Essence,99 157 Km,2019,Manuelle
DS 7 CROSSBACK,43 980 €,Diesel,7 700 Km,2022,Automatique
DS 3 CROSSBACK,26 480 €,Essence,38 255 Km,2021,Automatique
DS 3 CROSSBACK,35 980 €,Electrique,15 988 Km,2021,Automatique
DS 7 CROSSBACK,35 428 €,Diesel,44 400 Km,2019,Automatique
DS 3 CROSSBACK,36 980 €,Electrique,5 400 Km,2022,Automatique
DS 3 CROSSBACK,30 299 €,Diesel,14 600 Km,2021,Automatique
DS 4,14 980 €,Essence,49 540 Km,2017,Manuelle
DS 3 CROSSBACK,30 817 €,Diesel,28 200 Km,2021,Automatique
DS 3 CROSSBACK,26 990 €,Essence,35 120 Km,2019,Automatique
